"individual_id","holder_id","household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","ph_saq07","ph_s1q00","ph_s1q02","ph_s1q03","ph_s1q04","ph_s1q05"
"0101030180414506","0101030180414501","01010301804145","01010301804",1,3901.22436523438,1,1,3,18,4,145,1,6,8,1,4,
"0101030180414507","0101030180414501","01010301804145","01010301804",1,3901.22436523438,1,1,3,18,4,145,1,7,6,1,4,
"0101030180414508","0101030180414501","01010301804145","01010301804",1,3901.22436523438,1,1,3,18,4,145,1,8,3,1,4,
"0101050020400101","0101050020400101","01010500204001","01010500204",1,3071.13232421875,1,1,5,2,4,1,1,1,24,1,3,"X"
"0101050020400102","0101050020400101","01010500204001","01010500204",1,3071.13232421875,1,1,5,2,4,1,1,2,19,2,4,
"0101050020400103","0101050020400101","01010500204001","01010500204",1,3071.13232421875,1,1,5,2,4,1,1,3,2,2,4,
"0101050020402501","0101050020402501","01010500204025","01010500204",1,3071.13232421875,1,1,5,2,4,25,1,1,41,1,3,"X"
"0101050020402502","0101050020402501","01010500204025","01010500204",1,3071.13232421875,1,1,5,2,4,25,1,2,35,2,4,
"0101050020402503","0101050020402501","01010500204025","01010500204",1,3071.13232421875,1,1,5,2,4,25,1,3,19,1,4,
"0101050020402504","0101050020402501","01010500204025","01010500204",1,3071.13232421875,1,1,5,2,4,25,1,4,15,2,4,
"0101050020402505","0101050020402501","01010500204025","01010500204",1,3071.13232421875,1,1,5,2,4,25,1,5,11,1,4,
"0101050020402506","0101050020402501","01010500204025","01010500204",1,3071.13232421875,1,1,5,2,4,25,1,6,8,1,4,
"0101050020402507","0101050020402501","01010500204025","01010500204",1,3071.13232421875,1,1,5,2,4,25,1,7,4,1,4,
"0101050020402508","0101050020402501","01010500204025","01010500204",1,3071.13232421875,1,1,5,2,4,25,1,8,1,2,4,
"0101050020404901","0101050020404901","01010500204049","01010500204",1,3071.13232421875,1,1,5,2,4,49,1,1,40,1,3,"X"
