"household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_s6aq00","hh_s6aq0a","hh_s6aq01","hh_s6aq02"
"01010201403121","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,121,5,"Hand soap",2,
"01010201403121","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,121,6,"Other personal care goods",2,
"01010201403121","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,121,7,"Charcoal",2,
"01010201403121","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,121,8,"Firewood",2,
"01010201403121","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,121,9,"Kerosene",1,18
"01010201403121","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,121,10,"Cigarettes, tobacco, suret, ga",2,
"01010201403121","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,121,11,"Transport",2,
"01010201403136","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,136,1,"Matches",2,
"01010201403136","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,136,2,"Batteries",2,
"01010201403136","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,136,3,"Candles, incense",2,
"01010201403136","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,136,4,"Laundry soap",2,
"01010201403136","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,136,5,"Hand soap",2,
"01010201403136","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,136,6,"Other personal care goods",2,
"01010201403136","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,136,7,"Charcoal",2,
"01010201403136","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,136,8,"Firewood",2,
"01010201403136","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,136,9,"Kerosene",2,
"01010201403136","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,136,10,"Cigarettes, tobacco, suret, ga",2,
"01010201403136","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,136,11,"Transport",2,
