"ea_id","rural","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs6q01","cs6q02_a","cs6q02_b","cs6q02_c","cs6q03_a","cs6q03_b","cs6q03_c","cs6q04_a","cs6q04_b","cs6q04_c","cs6q05","cs6q06","cs6q07","cs6q08","cs6q09_1","cs6q09_2","cs6q10","cs6q11","cs6q12","cs6q13","cs6q14","cs6q15","cs6q16_a","cs6q16_b","cs6q16_c","cs6q16_d","cs6q17_a","cs6q17_b","cs6q17_c","cs6q17_d","cs6q18_a","cs6q18_b","cs6q18_c","cs6q18_d","cs6q18_e","cs6q18_f","cs6q18_g","cs6q18_h"
"03051100307",1,3,5,11,8,88,3,7,1,8,13,14,10,11,1,4,5,6,2,2,2,1,,,1,25,3,3,3,1,1,1,1,1,4,5,5,5,4,4,4,4,4,4,4,4
"03051300702",1,3,5,13,8,88,7,2,1,1,13,23,9,10,11,3,4,,2,2,2,1,,,1,800,3,3,3,1,1,1,9,1,4,4,4,4,5,5,4,4,4,4,5,4
"03051500703",1,3,5,15,8,88,7,3,1,7,6,2,5,8,11,3,4,10,3,2,1,1,,,1,94,3,3,3,1,1,1,1,1,5,5,5,5,4,4,4,4,4,4,2,4
"03052100808",1,3,5,21,8,88,8,8,1,8,7,5,7,8,10,2,3,4,3,1,1,1,,,1,133,1,1,1,1,1,1,1,1,4,4,4,3,4,4,4,2,3,9,4,3
"03060202603",1,3,6,2,8,88,26,3,1,7,2,8,11,9,10,3,4,3,2,1,1,1,,,1,530,3,2,3,1,3,3,1,1,4,4,1,5,2,4,1,3,4,4,5,3
"03060402001",1,3,6,4,8,88,20,1,1,8,7,13,10,11,10,3,4,3,1,2,2,1,,,1,250,3,3,3,1,3,3,1,1,4,4,9,4,3,4,9,9,4,4,4,4
"03060602103",1,3,6,6,8,88,21,3,1,7,16,8,11,12,1,4,5,6,2,2,2,1,,,1,620,3,2,1,1,1,1,2,1,4,4,5,4,3,3,5,1,5,3,1,9
"03060901807",1,3,6,9,8,88,18,7,1,7,2,8,9,10,11,3,4,5,2,2,1,1,,,1,498,3,3,3,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,3,4
"03061102207",1,3,6,11,8,88,22,7,1,6,27,7,10,10,11,4,2,3,2,2,3,1,,,1,900,3,1,3,1,3,3,2,3,3,3,3,4,1,1,3,3,3,2,2,3
"03061400105",0,3,6,14,8,88,1,5,1,2,7,11,9,11,1,4,5,6,2,3,3,1,,,1,50,1,1,1,1,3,3,2,3,4,4,4,4,4,4,4,3,5,3,5,4
"03061601207",1,3,6,16,8,88,12,7,1,60,1,8,7,9,10,11,4,4,2,2,2,1,,,1,1300,3,3,3,1,1,1,2,1,4,4,4,4,4,3,4,3,4,3,3,3
"03070101406",1,3,7,1,8,88,14,6,1,2,3,25,9,10,11,5,4,6,2,2,2,1,,,1,727,3,2,3,1,1,1,3,1,5,5,3,5,4,5,4,4,4,3,4,1
"03070300105",1,3,7,3,8,88,1,5,1,7,2,1,10,9,9,4,3,1,2,2,3,1,,,1,30,3,3,3,1,3,3,1,1,4,4,4,5,3,3,4,3,2,3,4,4
"03070401302",1,3,7,4,8,88,13,2,1,2,3,25,10,11,,3,4,5,2,2,2,1,,,1,693,3,1,4,1,1,2,1,2,2,1,2,2,2,2,1,2,2,2,1,2
"03070500105",0,3,7,5,8,88,1,5,1,6,2,27,1,1,12,5,4,3,1,1,3,2,0,,1,52,1,1,1,1,2,2,9,3,4,4,4,4,2,4,2,2,3,9,9,9
"03070502405",1,3,7,5,8,88,24,5,1,2,3,1,10,9,,3,4,,2,2,1,1,,,1,420,3,2,3,1,1,1,3,1,4,5,4,4,4,3,4,3,3,3,4,9
"03070801402",1,3,7,8,8,88,14,2,1,2,3,7,9,10,11,3,4,5,2,2,2,1,,,1,432,3,2,1,1,1,1,1,1,4,4,4,4,3,4,4,4,5,4,3,4
"03071001703",1,3,7,10,8,88,17,3,1,2,8,38,9,10,11,3,4,5,2,2,1,1,,,1,108,3,2,1,1,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,3
"03071301304",1,3,7,13,8,88,13,4,1,2,3,7,9,10,10,3,4,,2,2,2,1,,,1,1434,3,1,3,1,1,1,1,1,1,1,1,1,1,3,4,4,1,1,5,9
"03080201503",1,3,8,2,8,88,15,3,1,6,1,13,8,9,10,2,3,4,2,3,1,1,,,1,20,1,1,1,1,3,3,1,3,5,5,5,5,4,4,3,2,4,4,5,4
"03080300107",0,3,8,3,1,1,1,7,1,8,1,13,10,10,10,3,3,3,2,3,1,1,,,2,,1,1,1,1,2,2,1,3,4,5,5,5,3,4,4,2,4,3,4,5
"03080300603",1,3,8,3,8,88,6,3,1,6,7,13,8,10,11,1,2,3,2,3,1,1,,,1,493,1,1,1,1,1,1,1,3,5,5,5,5,4,4,1,4,2,4,4,4
