household_id,ea_id,saq01,rural,pw,adulteq,hh_size,no_conv,no_cons,food_cons_ann,nonfood_cons_ann,educ_cons_ann,total_cons_ann,price_index_hce,nom_totcons_aeq,cons_quint
1.0208E+12,1020800603,1,1,2945.655273,3.299999952,4,0,0,11059.01343,2802,235,14096.01367,1.034000039,4271.519531,4
1.0208E+12,1020800603,1,1,2945.655273,4.5,6,0,0,5554.639893,2039,26,7619.639648,1.034000039,1693.253296,1
1.0208E+12,1020800603,1,1,2945.655273,3.840000153,5,0,0,9932,1945,39,11916,1.034000039,3103.124756,2
1.0208E+12,1020800603,1,1,2945.655273,7.480000019,9,0,0,13342.10547,3329,296,16967.10547,1.034000039,2268.32959,2
1.0208E+12,1020800603,1,1,2945.655273,2.599999905,3,0,0,4279.052734,1248,141,5668.052734,1.034000039,2180.020264,1
1.0208E+12,1020800603,1,1,2945.655273,5.779999733,7,0,0,10531.36841,1871,232,12634.36816,1.034000039,2185.876953,1
1.0208E+12,1020800603,1,1,2945.655273,1.899999976,2,0,0,4043.684204,832,0,4875.684082,1.034000039,2566.149658,2
1.0208E+12,1020800603,1,1,2945.655273,0.819999993,1,0,0,3332.679993,962,0,4294.679688,1.034000039,5237.414063,4
1.0208E+12,1020800603,1,1,2945.655273,4.380000114,5,0,0,5616,1850,172,7638,1.034000039,1743.835571,1
1.0208E+12,1020800603,1,1,2945.655273,3.139999866,4,0,0,2756,377,0,3133,1.034000039,997.770752,1
1.0208E+12,1020800603,1,1,364.0697632,1.039999962,1,0,0,5928,7254,0,13182,1.034000039,12675,5
1.0209E+12,1020900602,1,1,4160.091309,5.559999943,6,0,0,9230.000122,2140,160,11530,1.034000039,2073.740967,1
1.0209E+12,1020900602,1,1,4160.091309,3.839999914,5,0,0,7028.666504,1368,140,8536.666016,1.034000039,2223.090088,2
1.0209E+12,1020900602,1,1,4160.091309,3.24000001,4,0,0,9836.666626,2178,29,12043.66699,1.034000039,3717.181152,3
1.0209E+12,1020900602,1,1,4160.091309,5.239999771,6,0,0,7782.666626,3916,194,11892.66602,1.034000039,2269.592773,2
1.0209E+12,1020900602,1,1,4160.091309,6.699999809,8,0,0,10738,3350,217,14305,1.034000039,2135.074707,1
