"holder_id","household_id","ea_id","rural","pw","parcel_id","field_id","saq01","saq02","saq03","saq04","saq05","saq06","ph_saq07","crop_name","crop_code","ph_s9q01","ph_s9q02_a","ph_s9q02_b","ph_s9q03_a","ph_s9q03_b","ph_s9q04_a","ph_s9q04_b","ph_s9q05_a","ph_s9q05_b","ph_s9q06","ph_s9q07","ph_s9q08_a","ph_s9q08_b","ph_s9q09","ph_s9q10","ph_s9q11","ph_s9q12_a","ph_s9q12_b","ph_s9q13_a","ph_s9q13_b"
"0102020080210801","01020200802108","01020200802",1,3456.86206054688,2,1,1,2,2,8,2,108,1,"TEFF",7,1,18,2,0,550,5,3,0,550,2,2,,,1,2,25,200,0,2,2
"0102020080212401","01020200802124","01020200802",1,3456.86206054688,1,4,1,2,2,8,2,124,1,"HORSE BEANS",13,1,9,2,1,150,24,2,1,70,2,2,,,1,2,25,12,0,2,2
"0102030100101701","01020301001017","01020301001",1,3416.8232421875,2,1,1,2,3,10,1,17,1,"CHICK PEAS",11,,,,,,,,,,,,,,,,,,,,
"0102030100103201","01020301001032","01020301001",1,3416.8232421875,1,7,1,2,3,10,1,32,1,"BARLEY",1,1,6,2,0,505,21,2,0,490,2,2,,,2,,,,,2,2
"0102030100103201","01020301001032","01020301001",1,3416.8232421875,1,10,1,2,3,10,1,32,1,"LENTILS",14,1,3,2,0,210,18,2,0,200,2,2,,,2,,,,,2,2
"0102030100104701","01020301001047","01020301001",1,3416.8232421875,3,1,1,2,3,10,1,47,1,"LENTILS",14,1,3,2,0,190,18,2,0,175,2,2,,,2,,,,,2,2
"0102030100106201","01020301001062","01020301001",1,3416.8232421875,2,3,1,2,3,10,1,62,1,"LINESEED",23,1,3,2,0,70,18,2,0,60,2,2,,,2,,,,,2,2
"0102030100106201","01020301001062","01020301001",1,3416.8232421875,2,4,1,2,3,10,1,62,1,"LENTILS",14,1,6,2,0,220,21,2,0,210,2,2,,,2,,,,,2,2
"0102030100106201","01020301001062","01020301001",1,3416.8232421875,3,1,1,2,3,10,1,62,1,"TEFF",7,1,23,2,0,250,9,3,0,245,2,2,,,2,,,,,2,2
"0102030100111101","01020301001111","01020301001",1,3416.8232421875,1,3,1,2,3,10,1,111,1,"MAIZE",2,1,6,2,0,610,21,3,0,510,2,2,,,2,,,,,2,2
"0102030100111101","01020301001111","01020301001",1,3416.8232421875,1,6,1,2,3,10,1,111,1,"TEFF",7,1,28,2,0,230,13,3,0,230,2,2,,,2,,,,,2,2
"0102030100111101","01020301001111","01020301001",1,3416.8232421875,3,2,1,2,3,10,1,111,1,"WHEAT",8,1,20,2,0,490,5,3,0,485,2,2,,,2,,,,,2,2
"0102030100112801","01020301001128","01020301001",1,3416.8232421875,2,1,1,2,3,10,1,128,1,"CHICK PEAS",11,1,8,3,0,90,24,3,0,75,2,2,,,2,,,,,3,3
"0102030100112801","01020301001128","01020301001",1,3416.8232421875,2,2,1,2,3,10,1,128,1,"TEFF",7,1,6,3,0,220,23,3,0,220,2,2,,,2,,,,,3,3
"0102030100114501","01020301001145","01020301001",1,3416.8232421875,1,3,1,2,3,10,1,145,1,"MAIZE",2,1,8,2,0,810,21,2,0,785,2,2,,,2,,,,,2,2
"0102040170200201","01020401702002","01020401702",1,4736.44140625,1,1,1,2,4,17,2,2,1,,2,,,,,,,,,,,,,,,,,,,,
"0102040170200201","01020401702002","01020401702",1,4736.44140625,1,2,1,2,4,17,2,2,1,,59,,,,,,,,,,,,,,,,,,,,
"0102040170200201","01020401702002","01020401702",1,4736.44140625,1,3,1,2,4,17,2,2,1,,8,,,,,,,,,,,,,,,,,,,,
"0102040170200201","01020401702002","01020401702",1,4736.44140625,1,4,1,2,4,17,2,2,1,,8,,,,,,,,,,,,,,,,,,,,
"0102040170200201","01020401702002","01020401702",1,4736.44140625,1,5,1,2,4,17,2,2,1,,8,1,3,2,1,110,18,2,1,0,2,2,,,2,,,100,0,2,2
"0102040170200201","01020401702002","01020401702",1,4736.44140625,2,1,1,2,4,17,2,2,1,,7,,,,,,,,,,,,,,,,,,,,
"0102040170200201","01020401702002","01020401702",1,4736.44140625,2,2,1,2,4,17,2,2,1,,3,1,2,3,0,930,17,3,0,910,2,2,,,2,,,150,0,3,3
"0102040170200201","01020401702002","01020401702",1,4736.44140625,2,3,1,2,4,17,2,2,1,,1,,,,,,,,,,,,,,,,,,,,
"0102040170200201","01020401702002","01020401702",1,4736.44140625,2,4,1,2,4,17,2,2,1,,3,,,,,,,,,,,,,,,,,,,,
"0102040170200201","01020401702002","01020401702",1,4736.44140625,2,5,1,2,4,17,2,2,1,,3,,,,,,,,,,,,,,,,,,,,
"0102040170200201","01020401702002","01020401702",1,4736.44140625,3,1,1,2,4,17,2,2,1,,3,,,,,,,,,,,,,,,,,,,,
"0102040170200201","01020401702002","01020401702",1,4736.44140625,3,2,1,2,4,17,2,2,1,,7,,,,,,,,,,,,,,,,,,,,
"0102040170200201","01020401702002","01020401702",1,4736.44140625,3,3,1,2,4,17,2,2,1,,3,1,8,3,0,830,23,3,0,810,2,2,,,1,15,33,200,0,3,3
"0102040170201801","01020401702018","01020401702",1,4736.44140625,1,1,1,2,4,17,2,18,1,,2,1,18,1,0,980,3,2,0,970,2,2,,,1,3,33,15,0,3,3
"0102040170201801","01020401702018","01020401702",1,4736.44140625,1,2,1,2,4,17,2,18,1,,6,,,,,,,,,,,,,,,,,,,,
"0102040170201801","01020401702018","01020401702",1,4736.44140625,1,3,1,2,4,17,2,18,1,,3,,,,,,,,,,,,,,,,,,,,
"0102040170201801","01020401702018","01020401702",1,4736.44140625,1,4,1,2,4,17,2,18,1,,3,,,,,,,,,,,,,,,,,,,,
"0102040170201801","01020401702018","01020401702",1,4736.44140625,1,5,1,2,4,17,2,18,1,,3,,,,,,,,,,,,,,,,,,,,
"0102040170201801","01020401702018","01020401702",1,4736.44140625,1,6,1,2,4,17,2,18,1,,3,1,15,2,0,750,30,2,0,710,2,2,,,2,,,50,0,3,3
"0102040170201801","01020401702018","01020401702",1,4736.44140625,1,7,1,2,4,17,2,18,1,,3,,,,,,,,,,,,,,,,,,,,
"0102040170201801","01020401702018","01020401702",1,4736.44140625,1,8,1,2,4,17,2,18,1,,3,,,,,,,,,,,,,,,,,,,,
"0102040170203301","01020401702033","01020401702",1,4736.44140625,1,1,1,2,4,17,2,33,1,,2,,,,,,,,,,,,,,,,,,,,
"0102040170203301","01020401702033","01020401702",1,4736.44140625,1,2,1,2,4,17,2,33,1,,3,1,5,3,1,310,20,3,1,290,2,2,,,2,,,50,0,3,3
"0102040170203301","01020401702033","01020401702",1,4736.44140625,1,3,1,2,4,17,2,33,1,,3,,,,,,,,,,,,,,,,,,,,
"0102040170203301","01020401702033","01020401702",1,4736.44140625,1,4,1,2,4,17,2,33,1,,3,,,,,,,,,,,,,,,,,,,,
"0102040170203301","01020401702033","01020401702",1,4736.44140625,1,5,1,2,4,17,2,33,1,,3,,,,,,,,,,,,,,,,,,,,
"0102040170203301","01020401702033","01020401702",1,4736.44140625,1,6,1,2,4,17,2,33,1,,6,,,,,,,,,,,,,,,,,,,,
