"ea_id","rural","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs5q01_a","cs5q01_b","cs5q01_c","cs5q02","cs5q03","cs5q04","cs5q05_a","cs5q05_b","cs5q06","cs5q07","cs5q08_a","cs5q08_b","cs5q09","cs5q10","cs5q11"
"04130600204",1,4,13,6,8,88,2,4,1,3,5,1,2,1,9,8,2,,,,1,10,1
"04130901003",1,4,13,9,8,88,10,3,1,5,,1,20,2,9,10,2,,,,2,,
"04140202701",1,4,14,2,8,88,27,1,1,,,1,5,1,1,11,1,1,1,,2,,
"04140501906",1,4,14,5,8,88,19,6,1,4,11,1,10,2,4,11,1,1,11,1,2,,
"04140900501",1,4,14,9,8,88,5,1,1,4,,1,5,1,1,11,2,,,,2,,
"04170301901",1,4,17,3,8,88,19,1,1,5,11,1,40,2,11,11,2,,,,2,,
"04170700204",1,4,17,7,8,88,2,4,1,,,1,5,2,4,,2,,,,2,,
"04171200807",1,4,17,12,8,88,8,7,1,11,,1,20,2,11,,2,,,,2,,
"04180301004",1,4,18,3,8,88,10,4,1,6,10,1,25,1,1,10,2,,,,2,,
"04180701106",1,4,18,7,8,88,11,6,1,4,10,2,,,,,1,1,1,4,1,5,2
"04190100103",1,4,19,1,8,88,1,3,1,5,,2,,,,,2,,,,2,,
"04190400101",1,4,19,4,8,88,1,1,1,5,,2,,,,,1,2,11,,2,,
"04190800704",1,4,19,8,8,88,7,4,1,5,,2,,,,,2,,,,2,,
"05010100902",1,5,1,1,8,88,9,2,1,4,10,2,,,,,2,,,,2,,
"05010200101",0,5,1,2,1,0,1,1,1,4,10,2,,,,,2,,,,2,,
"05010202401",1,5,1,2,8,88,24,1,1,4,,1,17,3,11,,2,,,,2,,
"05010301101",1,5,1,3,8,88,11,1,1,3,,2,,,,,2,,,,1,0,25
"05010401102",1,5,1,4,8,88,11,2,1,4,,2,,,,,1,1,1,,2,,
"05010401701",1,5,1,4,8,88,17,1,1,4,,2,,,,,2,,,,2,,
